O.P. NÚMERO,GRUPO DE ENTREGA,ITEM O.P. RESUMEN,TIPO DE MATERIAL,FECHA DE ENTREGA TELAS,MES,MARCA,ESTADO,CANT. ORDENADA,CANT. COMPLETA,CANT. PENDIENTE
MOP-00000150,006 - 1FEB2                                   ,35010291 - 19-4004 - 020  RETROMOM TIRO BAJO B NEGRO T-14,005 - DENIM                                   ,2026-06-04,002 - FEBRERO                                 ,003 - YOYO                                    ,Comprometido,100,0,100
MOP-00000143,009 - 1MAR1                                   ,35011291 - IND02 - 023  RETROMOM TIRO ALTO E INDIGO T-20,005 - DENIM                                   ,2026-06-06,003 - MARZO                                   ,003 - YOYO                                    ,Comprometido,50,0,50
MOP-00000139,002 - 1ENE2                                   ,35001295 - 11-0601 - 023  BODY PREMIUM SISA ES BLANCO T-20,001 - TEJIDO PUNTO                            ,2026-06-02,001 - ENERO                                   ,003 - YOYO                                    ,Comprometido,50,0,50
MOP-00000152,034 - 3SEP2                                   ,YY0000272 - IND07 - 020  TEJANO TIRO MEDIO TP INDIGO T-14,005 - DENIM                                   ,2026-06-02,009 - SEPTIEMBRE                              ,003 - YOYO                                    ,Comprometido,533,0,533
MOP-00000146,042 - 4NOV2                                   ,35054249 - 11-0602 - 021  CAMISETA  POLO MANGA CREMA T-16,001 - TEJIDO PUNTO                            ,2026-06-02,002 - FEBRERO                                 ,003 - YOYO                                    ,Comprometido,200,0,200
MOP-00000159,035 - 3SEP3                                   ,YY0000278 - IND01 - 020  CARGO TIRO ALTO INDIGO T-14,005 - DENIM                                   ,2026-06-05,009 - SEPTIEMBRE                              ,003 - YOYO                                    ,Comprometido,600,0,600
MOP-00000114,031 - 3AGO3                                   ,YY0000308 - 11-0602 - 020  T-SHIRT MANGA CORTA CREMA T-14,001 - TEJIDO PUNTO                            ,2026-06-05,008 - AGOSTO                                  ,003 - YOYO                                    ,Comprometido,600,0,600
MOP-00000157,035 - 3SEP3                                   ,YY0000274 - 11-0602 - 021  MOMJEAN TIRO MEDIO CREMA T-16,002 - TEJIDO PLANO                            ,2026-06-03,009 - SEPTIEMBRE                              ,003 - YOYO                                    ,Comprometido,533,0,533
MOP-00000119,029 - 3AGO1                                   ,YY0000294 - 12-1706 - 022  TOP MANGA CORTA ESTA ROSADO T-18,001 - TEJIDO PUNTO                            ,2026-06-05,008 - AGOSTO                                  ,003 - YOYO                                    ,Comprometido,371,0,371
MOP-00000144,009 - 1MAR1                                   ,35011291 - IND03 - 019  RETROMOM TIRO ALTO E INDIGO T-12,005 - DENIM                                   ,2026-06-05,003 - MARZO                                   ,003 - YOYO                                    ,Comprometido,150,0,150
MOP-00000145,006 - 1FEB2                                   ,35052249 - 11-0602 - 019  CAMISETA T-SHIRT OVE CREMA T-12,001 - TEJIDO PUNTO                            ,2026-06-01,002 - FEBRERO                                 ,003 - YOYO                                    ,Comprometido,150,0,150
MOP-00000089,029 - 3AGO1                                   ,YY0000292 - 12-1706 - 020  TSHIRT  MANGA CORTA ROSADO T-14,001 - TEJIDO PUNTO                            ,2026-06-05,008 - AGOSTO                                  ,003 - YOYO                                    ,Comprometido,470,0,470
MOP-00000103,,35050249 - 19-4004 - 024  CAMISETA MC TP ESEN NEGRO T-22,001 - TEJIDO PUNTO                            ,2026-06-04,001 - ENERO                                   ,003 - YOYO                                    ,Comprometido,50,0,50
MOP-00000114,031 - 3AGO3                                   ,YY0000308 - 11-0602 - 023  T-SHIRT MANGA CORTA CREMA T-20,001 - TEJIDO PUNTO                            ,2026-06-05,008 - AGOSTO                                  ,003 - YOYO                                    ,Comprometido,360,0,360
MOP-00000114,031 - 3AGO3                                   ,YY0000308 - 19-4024 - 023  T-SHIRT MANGA CORTA AZUL T-20,001 - TEJIDO PUNTO                            ,2026-06-05,008 - AGOSTO                                  ,003 - YOYO                                    ,Comprometido,283,0,283
MOP-00000154,034 - 3SEP2                                   ,YY0000277 - 11-0602 - 019  MAXIRETRO TIRO ALTO CREMA T-12,002 - TEJIDO PLANO                            ,2026-06-03,009 - SEPTIEMBRE                              ,003 - YOYO                                    ,Comprometido,500,0,500
MOP-00000161,031 - 3AGO3                                   ,YY0000321 - 19-4024 - 024  SHORT CON SESGOS AZUL T-22,001 - TEJIDO PUNTO                            ,2026-06-05,008 - AGOSTO                                  ,003 - YOYO                                    ,Comprometido,189,0,189
MOP-00000144,009 - 1MAR1                                   ,35011291 - IND03 - 022  RETROMOM TIRO ALTO E INDIGO T-18,005 - DENIM                                   ,2026-06-05,003 - MARZO                                   ,003 - YOYO                                    ,Comprometido,150,0,150
MOP-00000161,031 - 3AGO3                                   ,YY0000321 - 19-4024 - 021  SHORT CON SESGOS AZUL T-16,001 - TEJIDO PUNTO                            ,2026-06-05,008 - AGOSTO                                  ,003 - YOYO                                    ,Comprometido,378,0,378
MOP-00000119,029 - 3AGO1                                   ,YY0000294 - 12-1706 - 019  TOP MANGA CORTA ESTA ROSADO T-12,001 - TEJIDO PUNTO                            ,2026-06-05,008 - AGOSTO                                  ,003 - YOYO                                    ,Comprometido,371,0,371
MOP-00000140,999 - NO APLICA                               ,35002221 - IND03 - 020  TEJANO TIRO ALTO ESE INDIGO T-14,005 - DENIM                                   ,2026-06-02,008 - AGOSTO                                  ,003 - YOYO                                    ,Comprometido,150,0,150
MOP-00000103,,35050249 - 11-0602 - 024  CAMISETA MC TP ESEN CREMA T-22,001 - TEJIDO PUNTO                            ,2026-06-04,001 - ENERO                                   ,003 - YOYO                                    ,Comprometido,100,0,100
MOP-00000103,,35050249 - 19-4004 - 020  CAMISETA MC TP ESEN NEGRO T-14,001 - TEJIDO PUNTO                            ,2026-06-04,001 - ENERO                                   ,003 - YOYO                                    ,Comprometido,200,0,200
MOP-00000089,029 - 3AGO1                                   ,YY0000292 - 12-1706 - 023  TSHIRT  MANGA CORTA ROSADO T-20,001 - TEJIDO PUNTO                            ,2026-06-05,008 - AGOSTO                                  ,003 - YOYO                                    ,Comprometido,282,0,282
