MARCA,O.P. NÚMERO,REFERENCIA,GRUPO DE ENTREGA,MES,ITEM O.P. RESUMEN,DESC. BODEGA,ESTADO,U.M.,CANT. PLANEADA,CANT. ORDENADA,CANT. COMPLETA,CANT. PENDIENTE,FECHA TERMINACION,AÑO,COLECCIÓN,FECHA CREACION,FECHA APROBACION,EXT. 1,COLOR_NOMBRE,EXT. 2,DETALLE EXT. 2,DESC. DETALLE EXT. 2,CUMPLIMIENTO %,ESTATUS OP
YOYO,MOP-00000015,35011291                                          ,22-2JUN2,06-JUNIO,35011291 - IND03 - 022  RETROMOM TIRO ALTO E INDIGO T-18,YOYO CEDI,Aprobado,UND ,150,150,131,19,2026-05-07,01-2026, ,2026-04-13,2026-04-13,1,IND03               ,1,22,T-18     ,0.8733333333333333,INCOMPLETO
YOYO,MOP-00000015,35011291                                          ,22-2JUN2,06-JUNIO,35011291 - IND03 - 023  RETROMOM TIRO ALTO E INDIGO T-20,YOYO CEDI,Aprobado,UND ,150,150,131,19,2026-05-07,01-2026, ,2026-04-13,2026-04-13,1,IND03               ,1,23,T-20     ,0.8733333333333333,INCOMPLETO
YOYO,MOP-00000015,35011291                                          ,22-2JUN2,06-JUNIO,35011291 - IND03 - 024  RETROMOM TIRO ALTO E INDIGO T-22,YOYO CEDI,Aprobado,UND ,149,149,130,19,2026-05-07,01-2026, ,2026-04-13,2026-04-13,1,IND03               ,1,24,T-22     ,0.87248322147651,INCOMPLETO
YOYO,MOP-00000016,35014724                                          ,22-2JUN2,06-JUNIO,35014724 - IND02 - 018  CHAQUETA DENIM ESENC INDIGO T-10,YOYO CEDI,Cumplido,UND ,100,100,102,0,2026-05-27,01-2026, ,2026-04-13,2026-04-13,1,IND02               ,1,18,T-10     ,1.02,CERRADO
YOYO,MOP-00000016,35014724                                          ,22-2JUN2,06-JUNIO,35014724 - IND02 - 019  CHAQUETA DENIM ESENC INDIGO T-12,YOYO CEDI,Cumplido,UND ,100,100,102,0,2026-05-27,01-2026, ,2026-04-13,2026-04-13,1,IND02               ,1,19,T-12     ,1.02,CERRADO
YOYO,MOP-00000016,35014724                                          ,22-2JUN2,06-JUNIO,35014724 - IND02 - 020  CHAQUETA DENIM ESENC INDIGO T-14,YOYO CEDI,Aprobado,UND ,200,200,201,0,2026-05-27,01-2026, ,2026-04-13,2026-04-13,1,IND02               ,1,20,T-14     ,1.005,CERRADO
YOYO,MOP-00000016,35014724                                          ,22-2JUN2,06-JUNIO,35014724 - IND02 - 021  CHAQUETA DENIM ESENC INDIGO T-16,YOYO CEDI,Aprobado,UND ,300,300,302,0,2026-05-27,01-2026, ,2026-04-13,2026-04-13,1,IND02               ,1,21,T-16     ,1.0066666666666666,CERRADO
YOYO,MOP-00000016,35014724                                          ,22-2JUN2,06-JUNIO,35014724 - IND02 - 022  CHAQUETA DENIM ESENC INDIGO T-18,YOYO CEDI,Aprobado,UND ,200,200,199,1,2026-05-27,01-2026, ,2026-04-13,2026-04-13,1,IND02               ,1,22,T-18     ,0.995,INCOMPLETO
YOYO,MOP-00000016,35014724                                          ,22-2JUN2,06-JUNIO,35014724 - IND02 - 023  CHAQUETA DENIM ESENC INDIGO T-20,YOYO CEDI,Aprobado,UND ,300,300,302,0,2026-05-27,01-2026, ,2026-04-13,2026-04-13,1,IND02               ,1,23,T-20     ,1.0066666666666666,CERRADO
YOYO,MOP-00000016,35014724                                          ,22-2JUN2,06-JUNIO,35014724 - IND02 - 024  CHAQUETA DENIM ESENC INDIGO T-22,YOYO CEDI,Cumplido,UND ,100,100,102,0,2026-05-27,01-2026, ,2026-04-13,2026-04-13,1,IND02               ,1,24,T-22     ,1.02,CERRADO
YOYO,MOP-00000011,YY0001084                                         ,21-2JUN1,06-JUNIO,YY0001084 - IND01 - 018  SHORT TIRO ALTO TP L INDIGO T-10,YOYO CEDI,Cumplido,UND ,177,177,185,0,2026-05-20,01-2026,014-MATCHA CLUB,2026-04-13,2026-04-13,1,IND01               ,1,18,T-10     ,1.0451977401129944,CERRADO
