MES,MES ADELANTO,GRUPO DE ENTREGA,MARCA,TIPO DE LINEA,TIPO DE MATERIAL,REFERENCIA,DESC. ITEM,TIPO DE ABASTECIMIENTO
007 - JULIO                                   , ,026 - 3JUL2                                   ,001 - STOP                                    ,004 - ESENCIAL MODA                           ,001 - TEJIDO PUNTO                            ,ST0000307,BODY PREMIUM MANGA SISA DOBLE FAZ,001 - PRODUCCION INTERNA TELA NACIONALIZADA   
007 - JULIO                                   , ,026 - 3JUL2                                   ,001 - STOP                                    ,004 - ESENCIAL MODA                           ,001 - TEJIDO PUNTO                            ,MS0000308,CAMISETA PREMIUM MANGA CORTA,001 - PRODUCCION INTERNA TELA NACIONALIZADA   
007 - JULIO                                   , ,026 - 3JUL2                                   ,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,ST0000312,LEVANTACOLA TIRO ALTO LAVADO CLARO,001 - PRODUCCION INTERNA TELA NACIONALIZADA   
007 - JULIO                                   , ,026 - 3JUL2                                   ,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,ST0000313,TEJANO TIRO ALTO LAVADO OSCURO,001 - PRODUCCION INTERNA TELA NACIONALIZADA   
007 - JULIO                                   , ,027 - 3JUL3                                   ,001 - STOP                                    ,003 - OPORTUNIDADES                           ,005 - DENIM                                   ,ST0000314,VAQUERO TIRO ALTO LAV MEDIO OSCURO,001 - PRODUCCION INTERNA TELA NACIONALIZADA   
008 - AGOSTO                                  ,07-JULIO,029 - 3AGO1                                   ,001 - STOP                                    ,008 - MODA                                    ,002 - TEJIDO PLANO                            ,ST0000359,BLUSA MANGA LARGA CON AMARRE EN FRENTE,001 - PRODUCCION INTERNA TELA NACIONALIZADA   
008 - AGOSTO                                  , ,029 - 3AGO1                                   ,001 - STOP                                    ,008 - MODA                                    ,002 - TEJIDO PLANO                            ,ST0000831,BLUSA MANGA LARGA CON AMARRE EN FRENTE,001 - PRODUCCION INTERNA TELA NACIONALIZADA   
008 - AGOSTO                                  , ,031 - 3AGO3                                   ,001 - STOP                                    ,008 - MODA                                    ,002 - TEJIDO PLANO                            ,ST0000391,PANTALON PALAZZO TIRO ALTO COLOR NEGRO,001 - PRODUCCION INTERNA TELA NACIONALIZADA   
008 - AGOSTO                                  , ,,001 - STOP                                    ,008 - MODA                                    ,002 - TEJIDO PLANO                            ,0000807,BERMUDA TIRO MEDIO LAV OSCURO,
007 - JULIO                                   , ,027 - 3JUL3                                   ,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,ST0000317,RETROJEAN TIRO ALTO LAVADO CLARO,001 - PRODUCCION INTERNA TELA NACIONALIZADA   
